"run","all_cause_isolation","susceptibility","handHygieneIntervention","importationSurge","decayRate","ppeIsolationAdherenceProb","timeBetweenContamPulse","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","patientContamPerPulse","treatmentDuration","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","nearZoneContamPerPulse","ppeEfficacy","transferFractionRandom","isolateOnSuspicion","extra_samples","randomSeed","postVisitCleaning","farContamPerPulse","surveillanceSpecificity","decayRandom"
252,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,548022813,0,6275,0.7,0
262,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,548347812,0,6525,0.7,0
272,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,548675353,0,6775,0.7,0
282,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,549007798,0,7025,0.7,0
292,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,549338730,0,7275,0.7,0
302,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,549688823,0,7525,0.7,0
312,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,550049764,0,7775,0.7,0
322,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,550397976,0,8025,0.7,0
332,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,550742805,0,8275,0.7,0
342,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,551088820,0,8525,0.7,0
352,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,551445068,0,8775,0.7,0
362,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,551801809,0,9025,0.7,0
372,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,552153612,0,9275,0.7,0
382,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,552515335,0,9525,0.7,0
392,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,552874064,0,9775,0.7,0
3,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,539795585,0,50,0.7,0
13,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540010036,0,300,0.7,0
23,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540357740,0,550,0.7,0
33,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,540710220,0,800,0.7,0
43,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541058843,0,1050,0.7,0
53,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541383843,0,1300,0.7,0
63,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,541715386,0,1550,0.7,0
73,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542050119,0,1800,0.7,0
83,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542380766,0,2050,0.7,0
93,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,542700993,0,2300,0.7,0
103,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543029248,0,2550,0.7,0
